;class;question
877;ENTER;Good afternoon, I would like to know do I need to take the profile of mathematics in order to enroll in the HR management on distance learning? and is there any competition for these places among those who are transported there in absentia? 
878;RANG;How much points to enter the SDM on the basis of 11th class? 
879;ORG;Classes start September 3 ie the first pair, then the ruler? 
880;ORG;Learn whether the September 3 freshmen? 
881;ENTER;Good afternoon. I want to know I went to College to get a degree in social work if I have the perspective then to do the PERM at the faculty of Humanities, direction of sociology?What the exam will need to pass or do you have any entrance test? 
882;ORG;When and where to get a student? 
883;RANG;translated from glasses for extramural studies . 27 Aug wrote a statement. when and where can I learn enrolled me? 
884;RANG;Hello, you can see which group I joined, the faculty of Humanities, graduate in absentia, the economy? (simple lists in groups are still there) 
885;RANG;Good morning, please tell me how to find out which group I was enrolled and where you can find the schedule for 3 September? He entered the ETF(at). 
886;ENTER;You have a specialty in mining engineering (шифр21.05.06).I would like to know what is physics, mathematics is necessary to pass the exam? Specialized or basic.And if the inside of your Perm Polytechnic University exams that need to pass for admission? 
887;ENTER;Is it possible to move from full-time study by correspondence? 
888;HOST;Is it possible to move out of the dorms and get the money back? 
889;HOST;Can I move into the Dorm this weekend? 
890;ORG;HELLO, TELL, SEPTEMBER 1 CLASS AGAIN? 
891;ORG;Freshmen study 3 September? 
892;ORG;Good day! Do you have a service for people with a higher education qualification or requalification? If Yes, then how much time and the cost of education? 
893;ORG;Hello, 1 September something for freshmen? When the order of admission GUM PR to view the schedule of classes? 
894;HOST;If I could be on the day of settlement, I can move to another day? 
895;HOST;Where it is possible to make temporary registration? Thanks in advance 
896;ORG;When you need to get your student ID, and how to find out which group you are? 
897;ORG;Hello, entered the so-NGD. We are 3 groups, where can I find out what group am I in? NGD-18-1B NGD-18-2B NGD-18-3b 
898;PRIV;Good day!And if a person finished school with a gold medal, but went to study on a paid basis, any discounts due to the medals? 
899;HOST;Hello! What is the probability of living in hostel? All freshmen will be populated? If not, when will you know? 
900;HOST;Do I have to stay in the hostel after check in? Or you can leave and come back another day? ETF BER 
901;HOST;Hello, can I know when will be settling in to her freshman Dorm master, and if we see lists of those who inhabit? ETP, FIGURE, budget. 
902;ORG;When the answer phone is on issues of training courses? 
903;ORG;Tell me please, couples will be the 3rd of September? 
904;HOST;Hello. Tell me, please, the payment of the hostel on the day of settlement is held in the Dorm or have to go to the main building? Would it be possible to pay the commandant in the rest of the time? Do I have to stay in the hostel after check in? Or you can leave and come back another day? ETF BER 1 course points budget 
905;HOST;Good afternoon. The question which has been written about the hostel, but the first-year student. Settling in a hostel in Lysva branch will be held August 31, correct? 
906;ORG;Arrived on the part of ADF, are my next steps? Will there be meetings for students? 
907;ENTER;Hello, having secondary professional education technology of foundry production, is it possible to enroll in TAMP on accelerated learning ? 
908;HOST;When should I pass the medical examination for living in hostel? 
909;HOST;Is it possible for my brother to pay for a hostel or need personally ? 
910;ORG;Hello,you can see which group I do it?(University,Economics) 
911;ORG;Hello, you can see which group I joined.? 
912;ORG;Good day, tell me which group I joined, and when will the orientation session? 
913;ORG;Good day, what group I'm entered? 
914;DOC;Good afternoon. Tell me is there still a possibility to apply/enroll in the correspondence Department? Interested in the direction of technosphere safety. 
915;HOST;If the chest x-rays passed 2017.12.31, you need to remake it or not? ( Living in hostel) 
916;HOST;You can check the up time as you can pay for a hostel on Friday ? 
917;ENTER;Good afternoon. The situation is, never finished College (went with the 3 course), as later understood that this is not what I need in the future. Can I take next year's exam and to do to you, if you get a decent number of points on a budget? 
918;RANG;where can I see the orders of enrollment? 
919;ORG;Good day! Please tell me which group I did?(ACF-TPN, On the target reception) 
920;ORG;Please tell me when will be group assignment Economics, part-time, contract? 
921;HOST;Hello I would like to clarify the check into the Dorm on August 31? 
922;ENTER;Hello. Tell me if I finished the oil College, majoring in applied geodesy. I can only this profession to do or not? And whether it is necessary to pass the entrance exam? 
923;HOST;Where to go for a hostel? It's not too late to take the statement? 
924;HOST;Whether you take to the Dorm without flyurografiya for 2018 if I'll go through it, but will not have to take the result? 
925;ORG;Hello. Where can I find out which group enrolled? 
926;RANG;Why am I not listed as enrolled on a University Economics master course (contract)? 
927;ORG;Hello, please tell me which group I did?(University,economy,full-time) 
928;RANG;Where to find the orders of enrollment to find the group? 
929;ORG;Good day! Please tell me which group I did?(University,economy,full-time) 
930;ORG;Good evening. What number will be given to freshmen student book and student.ticket? 
931;DOC;Hello! Do I need a medical certificate 086 at the conclusion of the contract (the contract) at the correspondence form of training? When submitting documents for admission were not documented. Thank you. 
932;DOC;Tell me, in high school I had an exemption from physical education for health reasons. Where and what documents I need to provide to be exempt from this subject at University? 
933;ENTER;Hello! Contractors pay the hostel through Sberbank. Details for payment need to take the head or body will give at the meeting? Meeting 27.08.18.Whether on campus, the savings Bank or its terminals? 
934;ORG;September 1 will be some kind of program for freshmen ? 
935;ORG;The freshmen have to come September 1 ? 
936;ENTER;what exams you need to pass to enter the faculty of Humanities? 
937;ORG;Credited to ETF-ACS in an accelerated program(correspondence Department). My group of ACS-18-1бз or ASU-18-1бзу ? 
938;DOC;In the learning process to bring a medical certificate? 
939;ORG;Hello! Where can I find out what group I got? 
940;HOST;You can check the up time as you can pay for the Dorm ? 
941;HOST;Can you explain,how are the dorms (FPM)? 
942;ORG;Good day! Please tell me whether to stand in pairs on 3 September, first-year students? 
943;HOST;What now is a dormitory for students of the second course? Budget 
944;HOST;Hello! 1.Can advance, i.e. before the settlement, to pay for the Dorm? 2. Can it be done by my relative without my presence? 
945;ORG;Hello,do you have any training in gunnery,artillery and missile weapons or weapons and military equipment? 
946;ORG;It turns out instead of the first of September this year to come September 3? 
947;ORG;Will there stand a pair of 3 September? 
948;HOST;If 27 decide not to stay in Dorm, what number of you need to come back ? By September 1 ? 
949;DOC;Hello! When will the admission of documents and final exams? 
950;ORG;When the day of knowledge and beginning of the study ? Thank you 
951;HOST;At the time of receipt passed to the selection Committee 6 photos. To check into a hostel more necessary or these will be enough? 
952;ORG;Hello, I enrolled in the first year of graduate ETF, RICE, on a budgetary basis. On admission gave no information. In this regard, I have questions. Where, when and any other event that you want to visit, not to miss any information? Where and when will the start-up meeting masters ETF, RICE where and when you can see the list populated in the hostel, and when to just happen check? 
953;HOST;What household appliances you can take to the hostel? 
954;ORG;When a scholarship ? 
955;ORG;Hello, when will be the traditional freshman day and when the beginning of the study? 
956;ORG;Where is the body In? 
957;HOST;To check into a hostel be sure to color photos or black and white? 
958;HOST;It's not too late apply for the hostel? 
959;HOST;Does obesity the Internet and whether it will have to pay separately? 
960;ORG;you can find out the phone number of the admissions Road factor?! 
961;HOST;Help if you can please. At its meeting on 2 August, the SF, I was told that 28 August will be moving into the hostel, but the website says August 29. So when everyone has to come to the settlement? 
962;ORG;The name of the group at the electrical engineering faculty under the direction of ACS(Zaochku). Can't find the timetable for it. Or still no timetable for the faculty? 
963;ORG;Where is the Dean of ETF and how to contact him? 
964;ORG;Good day, you can find the working hours of the Dean's office? 
965;ENTER;Physics scored low so did not do? 
966;ORG;Hello! And when will the meeting with the so? The direction of GNG 
967;RANG;Good afternoon. At what time will be posted the orders of enrollment, so, in absentia, the contract? Thank you. 
968;ORG;How much and when will be the meeting for first-year students of information systems and technology FPM ? 
969;ENTER;Good day, is it necessary to take further maths for admission in the direction of the Economy in 2019 or enough exam? 
970;HOST;Hello, how to find out whether the hostel (mA, ETP, KPI)? When settling with masters? 
971;HOST;You can ask, the 27th will check in at the hostel, a certificate from the health center and receipt of payment,where is the contract? Thanks in advance 
972;HOST;Whether in a Dorm to get an electric tile? 
973;ENTER;Good evening,do I need to take advanced math for Economics or enough of the exam (mathematics profile., Russian language, social studies)? 
974;HOST;And you can see what number the check into a hostel at first-year students of the Electrical engineering faculty? 
975;RANG;Hello, why am I not in the abstract, although I had to be enrolled ? 
976;ENTER;Where to view results ? 
977;ENTER;The receipt dates are not extended to the masters? 
978;ORG;The admission for distance master degree Gum the Economy of oil and gas in 15:00 or 16:30? 
979;ORG;Good evening, what day school starts, and students of the 1st course electro-technical faculty? 
980;ORG;Hello, will there be a meeting of enrolment for external students on electrotek? 
981;ORG;Where will the gathering take place for freshmen mehaniko the engineering faculty? 
982;HOST;How to find out where she provided a hostel ?(FPM) 
983;ORG;Good day! Read the Board, but there is no ACF. The lists have not augmented? And another question, in the lists of enrolled too. 
984;ORG;Good afternoon. What time and where tomorrow will be the enrollment in the correspondence Department, contract, mining and oil faculty? Thank you. 
985;ORG;Are unable to reach the GUM. Faculty. Can you tell what time tomorrow will the enrollment in the correspondence Department? Faculty of Humanities, Economics. Thank you. 
986;ORG;Hello, I have 2 questions. First, he entered the correspondence Department of the notice of the session to the workplace sends a University or need to order separate? Second, how can I find out what group I was enrolled, provided that there are several. Thanks in advance! 
987;RANG;Hello, when will the orders of enrollment and orders to check into a hostel, where you can see them? Faculty of ETF, the direction of RICE 
988;HOST;What documents are needed on the day of settlement to the Dorm? 
989;ENTER;Hello. I have higher pedagogical education(1995). Can I get additional education at the electrical engineering Department? If so, the duration of study and cost of care. 
990;ORG;Hello, enrolled in the correspondence paid. For admission it is necessary to come 21.08 or not? If it is necessary, how much, where and what to take? Thanks for the reply. 
991;HOST;Payment the hostel is only possible on the day of settlement? 
992;HOST;Hello, is it possible to honey. inspection to check into a hostel? 
993;ENTER;Hello, I want to attend preparatory courses for the exam in physics. Preferably 1 time per week, better off. How much are the courses? Where in the main building or in the complex? 
994;HOST;Do I need to bring with you to your Dorm room bedding? 
995;DOC;Until what time can pick up the documents, if not received? 
996;HOST;Hello,where you need to get a receipt for payment of hostel? And,in the list of the documents provided to bring results of chest x-ray in 2018,is it possible to bring the results of the end of 2017? 
997;HOST;Is the contract a hostel? 
998;ENTER;The list of students enrolled in the correspondence Department yet, but you'll need to pay before August 20? Or after the results of enrollment to pay? 
999;RANG;Good morning! My son Solodyankin Andrei Konstantinovich exams in your University for the Department of Road transport (Construction), contract, correspondence. Scored 140 points. But for some reason the list of lists on the faculty doesn't open. Maybe the group is not typed? How to know did he or not? 
1000;RANG;If you're coming in other means is not received? 
1001;ENTER;Good day! I would like to clarify, I have higher economic education, for admission to correspondence form of training on faculty of civil engineering, the training time is 5 years? 
1002;HOST;check in at the dormitory is scheduled for August 27, is it possible to move into the dormitory early or not? 
1003;RANG;When the list arrived in 2018? 
1004;ENTER;How does the selection Committee on Saturday? 
1005;ENTER;For extramural studies have no way to do this? 
1006;ENTER;Even a charge can not enter the IVT? If the shortfall in Algebra. And where then at least you can do if the shortage with it? 
1007;ENTER;And what if, in Algebra, wrote on 25 points (the shortfall). The rest is fine (Physics, History, Science), can I come to the Pros? 
1008;DOC;To what number you can still apply for a point? 
1009;ENTER;Hello! To what number you need to pay for the contract, graduate,part-time office?...faculty of Humanities 
1010;ENTER;The selection Committee is working on the old schedule? 
1011;DOC;Hello! Can I bring a medical certificate after admission to a master's degree? 
1012;ORG;30 Aug invited to the meeting, on the same day will have to pass a medical examination and to check in to the hostel. It is necessary to go immediately with all things? 
1013;ENTER;Hello. Scored 80 points, can I do a part-time paid training to any school where there is a shortage or someone is not able to make payment until 20 August? 
1014;ORG;What number will be credited to the contract in a master's degree in Economics? 
1015;DOC;If you need the original document upon receipt of the correspondence under the contract? ( the points on the contract has passed) 
1016;HOST;Can I pay the hostel after checking in the same day? 
1017;ORG;And you can find out how much will be credited on August 21 on extramural studies? And be sure to attend? 
1018;ORG;What to do if not selected the group by correspondence? 
1019;HOST;Are there any hostels the locks on the doors of living rooms? 
1020;ENTER;Hello.Tell me, if the points are not passed in one faculty correspondence, paid training, is it possible to go to another where there is a shortage? 
1021;ORG;In what office to seek the Dean, and as much as he usually is? Required his signature 
1022;ENTER;If you do not pay until 20 th contract, will not be credited? 
1023;HOST;Medical check-up for check-in at the hostel each year to pass or just freshmen? 
1024;ORG;Hello. External students must attend on August 21 enrollment? 
1025;ENTER;Hello, until what time can to pay for tuition? 
1026;ORG;Hello, when will be the competitive admission to the master's(budget, Aerocom) and whether it is necessary to come to him, if the originals of documents delivered? 
1027;RANG;When you lay out the lists of the enrolled in master's degree full-time? Or can fashionable somewhere to call to ask? 
1028;RANG;Temps-ITF points 167 why I do not see myself in the lists in the General competition on the budget and how many people there is?the statement was in the defense industry and contract? 
1029;ENTER;How much is the tuition by correspondence(bachelor program) per year for the first year? and how much will increase the cost of subsequent courses? 
1030;RANG;Hello when are the lists for enrollment , contract, zaochku? Posted only the budget(zaochku) 
1031;ORG;How much the beginning of enrollment (17.08) in the master course, the road,the direction of the GARDEN? 
1032;DOC;To which office to contact to submit the original documents to the magistracy, the civil engineering Department? 
1033;ORG;I applied for a master's degree in two directions, APR and ПГС2 of the original documents, on APR. Yesterday at the interview asked what direction you want to go, said ПГС2. Told him that I would participate in the competition for ПГС2, but the lists are registered on APR. Must come and ask for the original documents was moved to ПГС2? 
1034;ORG;I applied but did not file the correspondence can be up to 20 numbers to file and pay ? 
1035;ORG;I entered the correspondence Department of the construction faculty(budget), in the autumn when will the military draft, I can take in the army. The question is, will I be able to take a sabbatical and saved my budget? 
1036;DOC;Tell me, please, if you do not have medical help to make to Deposit, it is possible later to take it? 
1037;ORG;In lists of applicants to the faculty of Humanities the Economics,graduate full-time,a mistake in the average score of diploma,addressed this question on the phone earlier,but the data were not corrected.Who can I contact?Thank you. 
1038;RANG;When you see the list credited to the budget (correspondence Department)? 
1039;ORG;What audience MTF? 
1040;ORG;Exam results, 12th on the list and budget places 10, 15.08 whether it makes sense to come for admission or visit should be only those who entered the top ten? (15.08.2018) At the original -12 th 
1041;ORG;Hello! Tell me, please, whether come and pay 50% of tuition fee to another person? (pay for itself)there is No possibility personally to come and pay. 
1042;ORG;Hello! Admission to the master's will FOR 17.08 at 10:00, if you can not personally present in connection with the work be like? Original diploma is in the admissions office. And yet,what additional documents are required for admission, honey.help in what form? 
1043;ORG;Hello, come in part-time study at pnrpu. 15 Aug enrollment. You must personally be present on admission? and how much? 
1044;ORG;Exam results, 12th on the list and budget places 10, 15.08 whether it makes sense to come for admission or visit should be only those who entered the top ten? 
1045;ORG;The admission of the correspondence on the budget (TSP) how many? 
1046;HOST;Hello, what Internet provider in the dormitories on the complex? 
1047;ORG;And what audience will be credited to the budget of the electrical engineering faculty 15.08.2018? 
1048;ORG;For full-time master in direction Csim enrollment will be what number? how much? and in what office? 
1049;HOST;he entered the mining and petroleum Department(budget).Need in a hostel. from friends I learned that was sent to 5. you can learn more about this, just on the spot? check in to this hostel when? 
1050;ORG;Arrive at the electrical engineering faculty, software engineering, matriculation passed. Autumn will call in the RA can I get a contract from a sabbatical without making half the amount of training or money required? What are the solutions to this situation? 
1051;ORG;"A map of the Bank ""opening"" will provide for all students or just someone on a budget? "
1052;DOC;Hello. Please tell me can I submit the originals to the economy? 
1053;ORG;Tell me if by 20 August will not pay under the contract, will I be enrolled in the list? Can I pay later? 
1054;ENTER;"Prompt, please, the cost of education by correspondence in the direction of ""Strategic management and innovation management""? "
1055;ORG;When to come for admission for admission to the economy of the company graduate in absentia? And in what office? 
1056;ENTER;Good afternoon. It was full-time education, not over 4 year, year of deduction 2015, the faculty of Humanities. Tell me, is there still a possibility to recover the correspondence form of training in this Department? 14.08.2018 
1057;ORG;What time tomorrow will enroll ADP correspondence? 
1058;RANG;Enrollment building Department on budgetary and paid places, the order will be August 15 at 10 o'clock, on the website it will lay out at once? 
1059;ORG;Hello! Passed the entrance exams! When you enroll? To what number to enter into the contract and pay tuition(part-time contract)the direction of the ETF. 
1060;ORG;Hello, what audience and what time you need to come for admission on August 15? FPM, gr. EAST (correspondence Department) 
1061;RANG;Hello! I have a question.During the exam, and passed math by 20 points. in physics and Russian for 93 points.You total score is not looking?.If so, and chargeable with such scores do not take,right? 
1062;ORG;Good afternoon. Distance learning, contract, took the points, the contract is signed and paid for. Enrollment is on August 21. Do I have to attend a meeting of the receiving of the selection Committee on that day, or the personal presence only to your budget? 
1063;ORG;Hello. Put the originals in the master's degree (full-time training,budget), a written statement. Tell me, please, when you have to be for admission and what time? Thank you. 
1064;ORG;Hello, can you please tell me the admissions office phone number faculty of aerospace? 
1065;ORG;A Bank card opening it is necessary to arrange or University will give himself? 
1066;ORG;SOC. stipendio get state employees ? 
1067;ORG;Hello ... according to the results of exams in the correspondence section. on a competitive basis, (budget) in the list 5 for example. What next is required of me? What are my next steps? 
1068;ORG;The correspondence contract training cost 55 thousand a year. Training 2years 6 months. Does it mean that the third year will be the cost of learning 27500? 
1069;DOC;Can I submit the original documents on a Saturday? 
1070;DOC;You can still apply for distance learning , faculty building ? 
1071;ORG;Who is entitled to a social scholarship? 
1072;ORG;Is it possible to get a scholarship to the Bank card of Sberbank? 
1073;ORG;Where can I find out when and what time to come to school? 
1074;ORG;Good evening. The question of the training period RNGM after College, you write 5 years, why the agreement in the selection Committee consists of 6 years to whom exactly to address this issue? At the conclusion asked the question in the foster G. R., fee, saying it should be. 
1075;ORG;How is the payment? If in the PNRPU, there is a terminal? 
1076;ORG;Good day! 15.08 will be credited to the budget for students of humanitarian faculty please tell me how much and to what audience? And what else do you need besides a passport? Thanks in advance :) 
1077;ORG;Who pays a social grant? 
1078;HOST;minors need to check with your parents ? 
1079;ORG;Hello, what if I applied in aerospace by correspondence and passed the exams I have until the 20th to sign a contract? 
1080;ENTER;After graduating from College, having specialized secondary education, you can apply for any direction of distance learning in an accelerated program (3.5 years) or only on your profile? 
1081;ORG;Is it possible the applicant to carry documents for a social scholarship in the Dean's office? 
1082;RANG;Good afternoon. If I'm 2nd in the list to contest in absentia on HTF (HT), is it possible to get on a budget? 
1083;ORG;Hello.Whether at the construction faculty of Architectural engineering and aerospace faculty of the Department of design, graphics and descriptive of geometrian 2019? 
1084;ENTER;When will be results of interdisciplinary examination? Passed today 13.08 
1085;ORG;I'm on the faculty in my direction 10 of budget places, and I'm at 37 in can I do a contract? And how to do it? 
1086;DOC;Can I apply for another area of the building, if it doesn't pass, which already gave the originals. master? 
1087;ORG;Hello, how many need to come for admission? 
1088;ORG;Good afternoon. Could you tell me the period of study higher education so the Development and operation of oil and gas fields in absentia (education College in this specialty) and the qualification after the training? 
1089;ORG;If I can't come for admission to the master of ETF 17th of August, can it be done before the 17th August or after? 
1090;ORG;If the HTO, namely TMO contract goes only 3 people, can I, without typing the desired points in physics, but the amount of bushing enough to do that too on contract? 
1091;DOC;I passed the points on the budget, I know I have to provide consent for enrollment prior to August 14, to how many it can apply the 14th???? 
1092;RANG;Good. If I scored 40 points in physics, I passed the minimum score? 
1093;ENTER;What to do on a paid basis? 
1094;ORG;Hello, Dean of ETF starts on August 13? 
1095;ENTER;Anywhere we can find out the prices for admission bachelor? Also what are the chances of admission to you, if I studied 10 years for 10 years I worked ? 
1096;ORG;Oil and gas business overall profile is different from something oil and gas business in the past year,when there were different learning profiles? The possibilities of learning there will be some profiles? 
1097;ORG;Good day! Please tell me can the place me to take the contract to my friend? Because I'm not in Perm, and payment have to be before August 20! 
1098;ORG;Hello, if I have the statement with the originals are in the construction Department, the correspondence form of training, but I'm not on a budget to score the exam, can I apply for a fee? 
1099;RANG;if 48th in the list to contest in absentia in construction,have a chance to get on a budget? 
1100;ENTER;Hello, is there a possibility to arrive to you on a correspondence course after College now the results of the entrance examination from another University? 
1101;RANG;I 12 in the list have passed the original 10 budgetary places, is there any chance to get on a budget? 
1102;DOC;Good afternoon, for admission to the master's degree you can submit the originals to August 16, inclusive, or it's the last day of the 15? 
1103;ENTER;What audience,what the corps is an interdisciplinary examination for admission to master's degree(tuition by correspondence), 13-14.08?FPM 
1104;RANG;Hello, I received on mon , the group is not scored , was transferred to NGD , the points I'm on a budget, is it possible? 
1105;ORG;How to pay on the contract for the 2018-2019 academic year if payment of Mat.capital? 
1106;ORG;Pass by points on the budget (in absentia) and gave the originals if consent to admission to write the number 15? or before you need to come? 
1107;ORG;I don't understand why you can't enroll into a contract those who do not have enough points to trade for one exam if there are places on the area? 
1108;ORG;Those who are studying for a fee, generally can not get any scholarships? 
1109;ORG;Scored the necessary points on the correspondence form of training (the contract). Sign a contract and pay for 1 year of training. And in the fall you may have to go and complete your duty. Next year will have to pay again, and will return to school after the end of service life? 
1110;ORG;pass by points on the contract correspondence tamp what to do next? to come for admission on August 21 ? or even about that need? thank you :^) 
1111;ORG;good afternoon. when will be the admission to faculty of civil engineering in distance learning? 
1112;ENTER;Good afternoon, is there a possibility to study by correspondence on a budgetary basis. If Yes, in what areas? Thank you. 
1113;ENTER;Passed TAMP. Know not held to the contract or budget. In the list, ahead of me, people were fed for several specialties. Where to submit the original documents to give consent for study and sign a contract? 
1114;ORG;Do not get a passing score ( Possible retake? 
1115;ORG;How to pay for the amount of the contract , each month pays or quarter can be divided? Arrive on correspondence course 
1116;RANG;If the statistics of the admissions process you are in the other table, it means do not do? 
1117;PRIV;Hello, I include the number of children-orphans and children left without parental care, finished STRs will I be able to apply to the trail. year full-time training in a special quota? 
1118;ENTER;Is it possible to retake math? Physics and Russian points proshol 
1119;ENTER;Can you increase the budget places in the construction faculty of the correspondence Department? 
1120;RANG;How to know when finals are enrolled or not? 
1121;ORG;Hello, I submitted the originals to the magistracy, a copy of the diploma did not. Take a factory there in the questionnaire, you need to write the series and number of the diploma. You can learn series and number of diploma to the admissions Committee? 
1122;ORG;Tell me, please, school starts 1 or 3 September? (HTF) 
1123;ORG;when enrolling on a part-time on a contract basis when the contract will be signed and when do I pay tuition? 
1124;ORG;when enrolling on a part-time on a contract basis when you need to bring the original documents? 
1125;ENTER;Hello. Please tell me, I after graduation I applied to master's degree in mining and petroleum, the faculty of Technosphere safety, what number will be the entrance exam? 
1126;RANG;I applied just for the LGU, if after the date to switch to Sociology. Or have no chance? 
1127;DOC;to what number accept the originals for admission to master's? 
1128;ORG;Tell me if I pay the scholarship in full-time master's on a budget? 
1129;ENTER;is it possible to retake the exam entrance tests, if I score below the passing? 
1130;ORG;The points I pass to the contract in the Russian language exam sure. To what number you need to write a consent to the admission? Admissions works in the same way? 
1131;ENTER;I finished the NGOs have the exam results, can I voice them? 
1132;ENTER;Good afternoon, I have a question this friend was a programmer in the aviation College and enrolled in Polytech (last year)on management quality studying she turns 3.5 years accelerated and she obtained specialized education or not... I go there for the quality management is also a programmer and I was told that the training would be 5 years. How to understand specialized education who actually delivers? 
1133;ENTER;Good afternoon,what time's the exam in reserve days?I was told that you can go 11. 
1134;DOC;Filed documents for three departments. Be sure that the scores were indicated in all three test sheets or enough one? 
1135;RANG;Hello!Passed the entrance exams,maths is good,physics are scored,sitting on Russian do not lose hope!Tell me,maybe there is some chance,though small!?Thank you! 
1136;RANG;A number of published lists of enrolled? 
1137;RANG;If you arrive on an accelerated part-time, contract math passed 40 points, and physics 13, has a chance to be enrolled? Or have no chance? 
1138;RANG;If you scored 40 points in physics is a pass? 
1139;ENTER;Under what conditions can come to take the exam in reserve days? 
1140;ORG;Hello!6 was credited to FPM(full-time, state employees). Can I apply for a state social scholarship, if the student has no? 
1141;ORG;Applied for ATP in HTF and ETF. How do they differ? Is there any information about the subjects or the curriculum? You can link to 
1142;ENTER;If math passed on points, but the physics of gleaning the points, then the Russian will not allow it? 
1143;ENTER;I passed the entrance exams, not passed on scores on the physics exam tomorrow in Russian. I have still valid the exam in physics and Russian. Is it possible now to bring them and count them do I? Didn't think that you can take the exam. 09.08.18 
1144;RANG;If the faculty shortage, 1 failed an exam, you still have the chance to do? 
1145;ORG;Hello, applied for admission to your University and now exams. But after the exams I will need to leave urgently, if I can get into University, can I transfer the originals from the parents? whether a power of attorney and whether its to assure notarialna? 
1146;ENTER;If you are late for the exam for about 30 minutes, let me it to write? 
1147;ENTER;Tomorrow will not be able to attend the exam on the Russian language. The reason - a medical checkup for the device to work. If you bring a certificate from the hospital whether it's for a good reason and if I can write the exam in reserve days? 
1148;ENTER;What to do if for some reason could not attend the entrance exams?08.08.18 and 09.08.18 
1149;ENTER;Where to watch the results of the entrance exams? 
1150;PRIV;Does the bonus of passing training courses? 
1151;RANG;If one of the exams arrears, it is possible to throw points above the minimum from one to the other to do at least on a budget? 
1152;RANG;Is there the opportunity to enroll in 2nd year not in the budget for the so-NGD (2018 last year when you take in this direction), passing in the next year on a 200+ exam and pass all the exams of 1 course in the summer? Is that even possible? 
1153;RANG;If not go to the budget and to pay tuition, have the opportunity to be credited with 20 points on the math? 
1154;RANG;The evening will be the already known results on physics or only tomorrow? 
1155;ENTER;Come to the correspondence Department. Scored 20 math scores, retake or not? Also, does this mean that I passed the entrance exams and enrolled will not? 
1156;ENTER;Eliminates any possibility of receipt if not scored the minimum points? 
1157;RANG;In the hyperlink lists surnames of applicants, only those who enrolled, how the scores look? 
1158;RANG;If math score 20 points all not passed out? 
1159;ORG;Good day, can contract to pick up for me the other person? Do I need a power of attorney in this case? 
1160;ORG;Hello, can I freeze his training indefinitely? 
1161;ENTER;If the exam is physics I don't have to pass her entrance exam? 
1162;ENTER;If you failed one exam,can you send it?mathematics for example?received for extramural studies 
1163;ORG;Tell me to get a Governor's scholarship need to write any statement? 
1164;ENTER;Hello, please tell me how much will cost preparatory courses for entrance exams? 
1165;ORG;How to sign a contract? A representative is needed, and whether any additional Documents, if you have already handed over the originals? Thanks in advance. 
1166;ENTER;the entrance exams for the correspondence course can I use notes? 
1167;ORG;Do I need to have a Bank card to obtain scholarships or University will do it? 
1168;ORG;How many days a week studying sociologists? 
1169;RANG;I have a question for enrollment. Before the first stage of enrollment, I called the girl said I do not like going through the contest and can follow the documents, because documents can be picked up until 26 August, I went. Watch daily result enroll in CTIS, to date, enrolled 12 people. Must be 15 on the budget. Can I count on a budget, scored 207 points. Or keep them for their own? 
1170;ORG;In the first year all classes of MTF will be held in the main building? What in other cases? 
1171;ORG;Good time of day. Remind me, what time to arrive 7.08.2018? Said it was some kind of a meeting before exams... thank you in Advance for the answer. 
1172;ORG;Good evening. Please tell me how much you need to come to enrollment for those who enrolled in sociology? At 10:30, right? 
1173;ORG;The students who pay tuition the same contest?Or who were the first to draw up a contract, and he enlisted? 
1174;ORG;What is initial payment on the contract, if in the future, the tuition will be made at the expense of the parent capital???? 
1175;ORG;SOC. the scholarship is only for state employees? 
1176;ORG;I'm in the second wave, I have to come for admission? 
1177;ORG;Where will pass a couple on MTF TAMP? All in the main building? 
1178;RANG;I have 166 points. If I get the admission in the second wave of specialty FPM-FOP? Thanks in advance. 
1179;ENTER;Good afternoon. Are a College student next year after planning to go for the intended reception. I will need to pass the entrance exams to you or the exam? 
1180;DOC;Go in person to the graduate in absentia are still on the contract. To be credited to the contract is required if the original document (assuming that the original diploma is in a different Department)? 
1181;HOST;During the exam Polytechnic provides hostel? If provides where to turn? 
1182;HOST;Good afternoon.Is it possible to check in to the hostel gum.faculty 2 Sep. the second course? 
1183;ORG;How much will enrollment to the MTF? 
1184;ORG;Where can you find a list of the items that were in the Development and operation of oil and gas fields in the 2017-18 year? 
1185;ORG;Good day! Tell me how you need to issue a SOC.scholarship and what documents are needed for this? 
1186;ORG;In the first year of Electrotech more classes are held in the main building or in the complex? 
1187;ORG;Hello! To what number must provide the original document on education and a statement of enrollment for correspondence course? What number will be credited to the budget? (correspondence) 
1188;ORG;Hello. Where can you find a list of courses in the direction RNGM - Specialization: Development and exploitation of oil and gas fields? 
1189;ENTER;Hello, for admission to an interdisciplinary examination have the faculty to direction? Is it possible to do it on Saturday(11.08.2018) and if Yes please tell me the schedule of work. 
1190;DOC;Today still accept applications??? 
1191;ORG;Where will be credited to elektromehanika (some AUD. time?) 
1192;ORG;Please tell me the number of admissions of ETF? 
1193;DOC;Today all faculties are accepting originals up to 18:00 and some until 19:00? 
1194;HOST;When you have to pay for a hostel? 
1195;DOC;To what number you need to pass the original documents at the correspondence Department? 
1196;ORG;What number to come to be credited to second wave? 
1197;ORG;Classes fur.-technical Department in the main building? 
1198;ORG;Tell me, attach students to any hospital? 
